price,propertyType,size,rooms,bathrooms,municipality,latitude,longitude,status,priceByArea,hasParkingSpace,isParkingSpaceIncludedInPrice,typology,subtitle,floor,exterior,hasLift
250000.0,flat,37.0,1,1,madrid,40.4258444,-3.7036316,good,6757.0,0,0,flat,malasaña-universidad,intermedio,0,0
255000.0,duplex,61.0,1,1,madrid,40.4384369,-3.6175857,good,4180.0,1,1,flat,simancas,intermedio,1,1
115000.0,flat,73.0,3,1,madrid,40.3860434,-3.6714446,good,1575.0,0,0,flat,san diego,bajo,1,0
126000.0,flat,94.0,3,1,parla,40.2294338,-3.7749243,good,1340.0,0,0,flat,fuentebella-san felix-el leguario,intermedio,1,0
66000.0,flat,32.0,1,1,madrid,40.3808623,-3.6727038,good,2063.0,0,0,flat,entrevías,bajo,1,0
450000.0,flat,97.0,3,2,madrid,40.4658489,-3.7012194,good,4639.0,0,0,flat,valdeacederas,intermedio,1,1
120800.0,flat,125.0,3,1,collado villalba,40.6306638,-4.0143674,good,966.0,0,0,flat,carlos ruiz,bajo,1,0
209933.0,chalet,160.0,3,1,serracines,40.6249275,-3.3975054,good,1312.0,0,0,chalet,serracines,alto,1,0
175000.0,flat,83.0,3,1,móstoles,40.32139,-3.8475287,good,2108.0,0,0,flat,este,mediano,1,0
199000.0,flat,69.0,2,1,cercedilla,40.7376959,-4.0617482,good,2884.0,0,0,flat,cercedilla,intermedio,1,0
107500.0,flat,55.0,2,1,madrid,40.3832181,-3.6987298,good,1955.0,0,0,flat,almendrales,intermedio,1,0
116000.0,chalet,69.0,2,1,madrid,40.3794186,-3.6690086,good,1681.0,0,0,chalet,entrevías,alto,1,0
152000.0,flat,89.0,3,1,móstoles,40.3159999,-3.8544428,good,1708.0,0,0,flat,sur,mediano,1,0
236000.0,flat,73.0,2,2,alcalá de henares,40.4810189,-3.3833662,newdevelopment,3233.0,1,1,flat,san isidro - los almendros,intermedio,1,1
249000.0,chalet,117.0,4,2,valdemaqueda,40.5121567,-4.3020856,good,2128.0,0,0,chalet,valdemaqueda,alto,1,0
399990.0,flat,84.0,3,1,madrid,40.4368478,-3.6718582,good,4762.0,0,0,flat,guindalera,intermedio,1,0
238000.0,penthouse,50.0,1,1,alcalá de henares,40.5027892,-3.3484395,newdevelopment,4760.0,1,1,flat,el pilar - bripac,mediano,1,1
90000.0,flat,62.0,3,1,aranjuez,40.0372812,-3.5910162,good,1452.0,0,0,flat,foso-moreras,intermedio,1,0
370000.0,flat,80.0,3,2,madrid,40.4054737,-3.7013079,good,4625.0,0,0,flat,acacias,intermedio,1,1
